Simulacion,Balance_SmartAgent,Valor_Total,Ranking,Retorno_%,Transacciones,Precio_Final,Cambio_Precio_%,Tarjetas_0
1,972.87,972.87,78,-2.71,4,360.33,80.16,SI
2,1039.31,1039.31,87,3.93,4,383.27,91.64,SI
3,1111.38,1111.38,77,11.14,6,400.98,100.49,SI
4,1052.16,1052.16,77,5.22,4,364.42,82.21,SI
5,1031.85,1031.85,80,3.18,4,384.71,92.35,SI
6,1036.42,1036.42,70,3.64,4,323.19,61.60,SI
7,1036.28,1036.28,81,3.63,4,332.24,66.12,SI
8,893.80,893.80,90,-10.62,4,382.54,91.27,SI
9,1053.96,1053.96,86,5.40,4,419.34,109.67,SI
10,1035.39,1035.39,77,3.54,4,330.89,65.45,SI
